Disease Name,Overview,Symptoms,URL
ACL injury,"AnACLinjury is a tear or sprain of the anterior cruciate (KROO-she-ate) ligament (ACL) — one of the strong bands of tissue that help connect your thigh bone (femur) to your shinbone (tibia).ACLinjuries most commonly occur during sports that involve sudden stops or changes in direction, jumping and landing — such as soccer, basketball, football and downhill skiing.
Many people hear a pop or feel a ""popping"" sensation in the knee when anACLinjury occurs. Your knee may swell, feel unstable and become too painful to bear weight.
Depending on the severity of yourACLinjury, treatment may include rest and rehabilitation exercises to help you regain strength and stability, or surgery to replace the torn ligament followed by rehabilitation. A proper training program may help reduce the risk of anACLinjury.","Signs and symptoms of anACLinjury usually include: | A loud pop or a ""popping"" sensation in the knee | Severe pain and inability to continue activity | Rapid swelling | Loss of range of motion | A feeling of instability or ""giving way"" with weight bearing",https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738
Acne,"Acne is a skin condition that occurs when your hair follicles become plugged with oil and dead skin cells. It causes whiteheads, blackheads or pimples. Acne is most common among teenagers, though it affects people of all ages.
Effective acne treatments are available, but acne can be persistent. The pimples and bumps heal slowly, and when one begins to go away, others seem to crop up.
Depending on its severity, acne can cause emotional distress and scar the skin. The earlier you start treatment, the lower your risk of such problems.","Acne signs vary depending on the severity of your condition: | Whiteheads (closed plugged pores) | Blackheads (open plugged pores) | Small red, tender bumps (papules) | Pimples (pustules), which are papules with pus at their tips | Large, solid, painful lumps under the skin (nodules) | Painful, pus-filled lumps under the skin (cystic lesions) | Acne usually appears on the face, forehead, chest, upper back and shoulders.",https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047
Hidradenitis suppurativa,"Hidradenitis suppurativa (hi-drad-uh-NIE-tis sup-yoo-ruh-TIE-vuh), also known as acne inversa, is a condition that causes small, painful lumps to form under the skin. The lumps usually develop in areas where your skin rubs together, such as the armpits, groin, buttocks and breasts. The lumps heal slowly, recur, and can lead to tunnels under the skin and scarring.
Hidradenitis suppurativa tends to start after puberty, usually before age 40. It can persist for many years and worsen over time. It can affect your daily life and emotional well-being. Combined medical and surgical therapy can help manage the disease and prevent complications.
Women are three times more likely to develop hidradenitis suppurativa, though this ratio can differ by location around the world. Also, Black people are more likely to develop this disease than people of other races. This could be attributed to genetic factors.","Hidradenitis suppurativa can affect one or several areas of the body. Signs and symptoms of the condition include: | Blackheads.Blackheads appear in small, pitted areas of skin, often appearing in pairs. | Painful pea-sized lumps.The condition usually starts with a single, painful lump under the skin that persists for weeks or months. More bumps may form later, usually in areas where you have more sweat and oil glands or where the skin rubs together, such as the armpits, groin, buttocks and breasts. | Leaking bumps or sores.Some bumps or sores get bigger, break open and drain pus with an odor. | Tunnels.Over time, tunnels might form under the skin, connecting the lumps. These wounds heal slowly, if at all, and drain blood and pus. | Some people with this condition experience only mild symptoms. The course of the disease is highly variable. Excess weight and being a smoker are associated with worse symptoms, but people who are thin and don't smoke can experience severe disease.",https://www.mayoclinic.org/diseases-conditions/hidradenitis-suppurativa/symptoms-causes/syc-20352306
HIV/AIDS,"Acquired immunodeficiency syndrome (AIDS), is an ongoing, also called chronic, condition. It's caused by the human immunodeficiency virus, also called HIV.HIVdamages the immune system so that the body is less able to fight infection and disease. IfHIVisn't treated, it can take years before it weakens the immune system enough to becomeAIDS. Thanks to treatment, most people in the U.S. don't getAIDS.
HIVis spread through contact with genitals, such as during sex without a condom. This type of infection is called a sexually transmitted infection, also called an STI.HIValso is spread through contact with blood, such as when people share needles or syringes. It is also possible for a person with untreatedHIVto spread the virus to a child during pregnancy, childbirth or breastfeeding.
There's no cure forHIV/AIDS. But medicines can control the infection and keep the disease from getting worse. Antiviral treatments forHIVhave reducedAIDSdeaths around the world. There's an ongoing effort to make ways to prevent and treatHIV/AIDSmore available in resource-poor countries.",The symptoms ofHIVandAIDSvary depending on the person and the phase of infection.,https://www.mayoclinic.org/diseases-conditions/hiv-aids/symptoms-causes/syc-20373524
Acromegaly,"Acromegaly is a rare condition in adults that causes some bones, organs and other tissue to grow bigger. A small gland in the brain called the pituitary gland drives these changes by making too much growth hormone. This usually happens due to a tumor of the pituitary gland. The tumor isn't cancer.
When the body has too much growth hormone, bones get bigger. In childhood, this leads to increased height as part of a condition called gigantism. In adults with acromegaly, a change in height doesn't happen. Instead, bones in the hands, feet and face become bigger.
These changes happen slowly over many years. So people with acromegaly and their loved ones may take a long time to notice the symptoms. And healthcare professionals may have a hard time finding and treating the condition early on.
Without treatment, acromegaly can lead to other serious and sometimes life-threatening health conditions called complications. But treatments such as surgery, medicine and radiation can lower the risk of complications. Treatment also can improve many acromegaly symptoms.","Acromegaly symptoms can change the way some body parts look. Changes can include: | Thick ears and lips. | A broad nose. | Enlarged hands and feet. | A jutting brow or jaw. | Gaps between teeth. | An enlarged tongue. | An expanded rib cage that may cause the chest to have a round shape. | Skin changes can include: | Acne. | Harmless skin growths called skin tags. | Coarse, oily and thickened skin. | Swelling in the tissue under the skin. | Most often, people with acromegaly don't have every possible body change. And because the changes come on slowly, they may take years to notice. But over time, rings may no longer fit fingers like they used to. Or shoe size may get bigger. Sometimes, people notice the changes only by comparing old photos with newer ones. | Other acromegaly symptoms can include: | Vision troubles, including loss of side vision. | More sweating and body odor than is typical. | Extreme tiredness. | Headaches. | Joint pain. | Deeper voice.",https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222
Actinic keratosis,,,https://www.mayoclinic.org/diseases-conditions/actinic-keratosis/symptoms-causes/syc-20354969
Acute coronary syndrome,"Acute coronary syndrome is a term that describes a range of conditions related to sudden, reduced blood flow to the heart. These conditions include a heart attack and unstable angina.
A heart attack happens when cell death damages or destroys heart tissue. A heart attack also is known as a myocardial infarction.
Unstable angina occurs when blood flow to the heart decreases. It's not severe enough to cause cell death or a heart attack. But the reduced blood flow may increase your risk of a heart attack.
Acute coronary syndrome often causes severe chest pain or discomfort. It is a medical emergency that needs a diagnosis and care right away. The goals of treatment include improving blood flow, treating complications and preventing future problems.","The symptoms of acute coronary syndrome usually begin suddenly. They include: | Chest pain or discomfort. This is often described as aching, pressure, tightness or burning. Chest pain also is called angina. | Pain that starts in the chest and spreads to other parts of the body. These areas include the shoulders, arms, upper belly area, back, neck or jaw. | Nausea or vomiting. | Indigestion. | Shortness of breath, also called dyspnea. | Sudden, heavy sweating. | Racing heartbeat. | Feeling lightheaded or dizzy. | Fainting. | Unusual fatigue. | Chest pain or discomfort is the most common symptom. But symptoms may vary quite a bit depending on your age, sex and other medical conditions. You're more likely to have symptoms without chest pain or discomfort if you're a woman, an older adult or have diabetes.",https://www.mayoclinic.org/diseases-conditions/acute-coronary-syndrome/symptoms-causes/syc-20352136
Acute flaccid myelitis (AFM),,,https://www.mayoclinic.org/diseases-conditions/acute-flaccid-myelitis/symptoms-causes/syc-20493046
Acute myelogenous leukemia,"Acute myelogenous leukemia, also called AML, is a cancer of the blood and bone marrow. Bone marrow is the soft matter inside bones where blood cells are made.
The word ""acute"" in acute myelogenous leukemia means the disease tends to get worse quickly. It's called myelogenous (my-uh-LOHJ-uh-nus) leukemia because it affects cells called the myeloid cells. These typically develop into mature blood cells, including red blood cells, white blood cells and platelets.
AML is the most common type of acute leukemia in adults. The other type is acute lymphoblastic leukemia, also called ALL. Although AML can be diagnosed at any age, it is less common before age 45. AML also is called acute myeloid leukemia, acute myeloblastic leukemia, acute granulocytic leukemia and acute nonlymphocytic leukemia.
Unlike other cancers, there are no numbered stages of acute myelogenous leukemia.","Symptoms of acute myelogenous leukemia may include: | Fever. | Pain. Common places for pain include the bones, back and stomach. | Feeling very tired. | Paleness or change in skin color. | Frequent infections. | Easy bruising. | Bleeding with no clear cause, such as in the nose or gums. | Shortness of breath.",https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109
Guillain-Barre syndrome,"Guillain-Barre (gee-YAH-buh-RAY) syndrome is a condition in which the body's immune system attacks the nerves. It can cause weakness, numbness or paralysis.
Weakness and tingling in the hands and feet are usually the first symptoms. These sensations can quickly spread and may lead to paralysis. In its most serious form, Guillain-Barre syndrome is a medical emergency. Most people with the condition need treatment in a hospital.
Guillain-Barre syndrome is rare, and the exact cause is not known. But two-thirds of people have symptoms of an infection in the six weeks before Guillain-Barre symptoms begin. Infections can include a respiratory or a gastrointestinal infection, includingCOVID-19. Guillain-Barre also can be caused by the Zika virus.
There's no known cure for Guillain-Barre syndrome. Several treatment options can ease symptoms and help speed recovery. Most people recover completely from Guillain-Barre syndrome, but some serious illnesses can be fatal. While recovery may take up to several years, most people are able to walk again six months after symptoms first began. Some people may have lasting effects, such as weakness, numbness or fatigue.","Guillain-Barre syndrome often begins with tingling and weakness starting in the feet and legs and spreading to the upper body and arms. Some people notice the first symptoms in the arms or face. As Guillain-Barre syndrome progresses, muscle weakness can turn into paralysis. | Symptoms of Guillain-Barre syndrome may include: | A pins and needles feeling in the fingers, toes, ankles or wrists. | Weakness in the legs that spreads to the upper body. | Unsteady walk or not being able to walk or climb stairs. | Trouble with facial movements, including speaking, chewing or swallowing. | Double vision or inability to move the eyes. | Severe pain that may feel achy, shooting or cramplike and may be worse at night. | Trouble with bladder control or bowel function. | Rapid heart rate. | Low or high blood pressure. | Trouble breathing. | People with Guillain-Barre syndrome usually experience their most significant weakness within two weeks after symptoms begin.",https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/symptoms-causes/syc-20362793
Acute kidney injury,"Acute kidney injury happens when the kidneys suddenly can't filter waste products from the blood. When the kidneys can't filter wastes, harmful levels of wastes may build up. The blood's chemical makeup may get out of balance.
Acute kidney injury used to be called acute kidney failure. Acute kidney injury is most common in people who are in the hospital, mostly in people who need intensive care.
Acute kidney injury ranges from mild to severe. If severe, ongoing and not treated, it can be fatal. But it also can be reversed. People in otherwise good health may get back typical or nearly typical use of their kidneys.","Symptoms of acute kidney injury may include: | Less urine output. | Fluid buildup, which can cause shortness of breath and swelling in the legs, ankles or feet. | Tiredness. | Confusion or fogginess. | Nausea. | Pain in the belly or in the side below the rib cage. | Weakness. | Irregular heartbeat. | Itching. | Loss of appetite. | Chest pain or pressure. | Seizures or coma in severe cases. | Sometimes acute kidney injury causes no symptoms. Then it may be found through lab tests done for something else.",https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048
Acute liver failure,"Acute liver failure is loss of liver function that happens quickly — in days or weeks — usually in a person who has no preexisting liver disease. It's most often caused by a hepatitis virus or drugs, such as acetaminophen. Acute liver failure is less common than chronic liver failure, which develops more slowly.
Acute liver failure, also known as fulminant hepatic failure, can cause serious complications, including bleeding and increased pressure in the brain. It's a medical emergency that requires hospitalization.
Depending on the cause, acute liver failure can sometimes be reversed with treatment. In many situations, though, a liver transplant may be the only cure.","Symptoms of acute liver failure may include: | Yellowing of the skin and eyeballs, called jaundice. | Pain in the upper right belly area, called the abdomen. | A swollen belly, known as ascites. | Nausea and vomiting. | A general sense of feeling unwell, known as malaise. | Disorientation or confusion. | Sleepiness. | Breath with a musty or sweet odor. | Tremors.",https://www.mayoclinic.org/diseases-conditions/acute-liver-failure/symptoms-causes/syc-20352863
Acute lymphocytic leukemia,"Acute lymphocytic leukemia (ALL) is a type of cancer of the blood and bone marrow — the spongy tissue inside bones where blood cells are made.
The word ""acute"" in acute lymphocytic leukemia comes from the fact that the disease progresses rapidly and creates immature blood cells, rather than mature ones. The word ""lymphocytic"" in acute lymphocytic leukemia refers to the white blood cells called lymphocytes, whichALLaffects. Acute lymphocytic leukemia is also known as acute lymphoblastic leukemia.
Acute lymphocytic leukemia is the most common type of cancer in children, and treatments result in a good chance for a cure. Acute lymphocytic leukemia can also occur in adults, though the chance of a cure is greatly reduced.","Signs and symptoms of acute lymphocytic leukemia may include: | Bleeding from the gums | Bone pain | Fever | Frequent infections | Frequent or severe nosebleeds | Lumps caused by swollen lymph nodes in and around the neck, armpits, abdomen or groin | Pale skin | Shortness of breath | Weakness, fatigue or a general decrease in energy",https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077
Radiation sickness,"Radiation sickness is damage to the body caused by a large dose of radiation often received over a short time. This is called acute radiation sickness. The amount of radiation absorbed by the body, called the absorbed dose, determines how bad the illness will be.
Radiation sickness also is called acute radiation syndrome or radiation poisoning. Radiation sickness is not caused by common medical imaging tests that use low-dose radiation, such as X-rays, CT scans and nuclear medicine scans.
Although radiation sickness is serious and often fatal, it's rare. Since the atomic bombings of Hiroshima and Nagasaki, Japan, during World War II, most cases of radiation sickness have occurred after nuclear industrial accidents, such as the 1986 fire that damaged the nuclear power plant at Chernobyl, Ukraine.","The severity of radiation sickness symptoms depends on how much radiation you've absorbed. How much you absorb depends on the strength of the radiated energy, the time of your exposures, and the distance between you and the source of radiation. | Symptoms also are affected by the type of exposure, such as total or partial body. The severity of radiation sickness also depends on how sensitive the affected tissue is. For instance, the gastrointestinal system and bone marrow are highly sensitive to radiation.",https://www.mayoclinic.org/diseases-conditions/radiation-sickness/symptoms-causes/syc-20377058
ARDS,"Acute respiratory distress syndrome (ARDS) occurs when lung swelling causes fluid to build up in the tiny elastic air sacs in the lungs. These air sacs, called alveoli, have a protective membrane, but lung swelling damages that membrane. The fluid leaking into the air sacs keeps the lungs from filling with enough air. This means less oxygen reaches the bloodstream, so the body's organs don't get the oxygen they need to work properly.
ARDS usually occurs in people who are already critically ill or have major injuries. People usually are severely short of breath — the main symptom of ARDS — within a few hours to a few days after the injury or infection that caused ARDS.
Many people who get ARDS don't survive. The risk of death gets higher with age and how severe the illness is. Of the people who survive ARDS, some fully recover. But others have lasting lung damage.",The seriousness of ARDS symptoms can vary depending on what's causing them and whether there is underlying heart or lung disease. Symptoms include: | Severe shortness of breath. | Labored and rapid breathing that is not usual. | Cough. | Chest discomfort. | Fast heart rate. | Confusion and extreme tiredness.,https://www.mayoclinic.org/diseases-conditions/ards/symptoms-causes/syc-20355576
Acute sinusitis,"Acute sinusitis causes the spaces inside the nose, known as sinuses, to become inflamed and swollen. Acute sinusitis makes it hard for the sinuses to drain. Mucus builds up.
Acute sinusitis can make it hard to breathe through the nose. The area around the eyes and the face might feel swollen. There might be throbbing face pain or a headache.
The common cold is the usual cause of acute sinusitis. Most often, the condition clears up within a week to 10 days unless there's also an infection caused by bacteria, called a bacterial infection. Home remedies might be all that's needed to treat acute sinusitis. Sinusitis that lasts more than 12 weeks even with medical treatment is called chronic sinusitis.","Acute sinusitis symptoms often include: | Thick, yellow or greenish mucus from the nose, known as a runny nose, or down the back of the throat, known as postnasal drip. | Blocked or stuffy nose, known as congestion. This makes it hard to breathe through the nose. | Pain, tenderness, swelling and pressure around the eyes, cheeks, nose or forehead that gets worse when bending over. | Other signs and symptoms include: | Ear pressure. | Headache. | Aching in the teeth. | Changed sense of smell. | Cough. | Bad breath. | Tiredness. | Fever.",https://www.mayoclinic.org/diseases-conditions/acute-sinusitis/symptoms-causes/syc-20351671
Alcohol use disorder,"Alcohol use disorder is a pattern of alcohol use that involves problems controlling your drinking, being preoccupied with alcohol or continuing to use alcohol even when it causes problems. This disorder also involves having to drink more to get the same effect or having withdrawal symptoms when you rapidly decrease or stop drinking. Alcohol use disorder includes a level of drinking that's sometimes called alcoholism.
Unhealthy alcohol use includes any alcohol use that puts your health or safety at risk or causes other alcohol-related problems. It also includes binge drinking — a pattern of drinking where a male has five or more drinks within two hours or a female has at least four drinks within two hours. Binge drinking causes significant health and safety risks.
If your pattern of drinking results in repeated significant distress and problems functioning in your daily life, you likely have alcohol use disorder. It can range from mild to severe. However, even a mild disorder can escalate and lead to serious problems, so early treatment is important.","Alcohol use disorder can be mild, moderate or severe, based on the number of symptoms you experience. Signs and symptoms may include: | Being unable to limit the amount of alcohol you drink | Wanting to cut down on how much you drink or making unsuccessful attempts to do so | Spending a lot of time drinking, getting alcohol or recovering from alcohol use | Feeling a strong craving or urge to drink alcohol | Failing to fulfill major obligations at work, school or home due to repeated alcohol use | Continuing to drink alcohol even though you know it's causing physical, social, work or relationship problems | Giving up or reducing social and work activities and hobbies to use alcohol | Using alcohol in situations where it's not safe, such as when driving or swimming | Developing a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amount | Experiencing withdrawal symptoms — such as nausea, sweating and shaking — when you don't drink, or drinking to avoid these symptoms | Alcohol use disorder can include periods of being drunk (alcohol intoxication) and symptoms of withdrawal. | Alcohol intoxicationresults as the amount of alcohol in your bloodstream increases. The higher the blood alcohol concentration is, the more likely you are to have bad effects. Alcohol intoxication causes behavior problems and mental changes. These may include inappropriate behavior, unstable moods, poor judgment, slurred speech, problems with attention or memory, and poor coordination. You can also have periods called ""blackouts,"" where you don't remember events. Very high blood alcohol levels can lead to coma, permanent brain damage or even death. | Alcohol withdrawalcan occur when alcohol use has been heavy and prolonged and is then stopped or greatly reduced. It can occur within several hours to 4 to 5 days later. Signs and symptoms include sweating, rapid heartbeat, hand tremors, problems sleeping, nausea and vomiting, hallucinations, restlessness and agitation, anxiety, and occasionally seizures. Symptoms can be severe enough to impair your ability to function at work or in social situations.",https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243
Compulsive gambling,,,https://www.mayoclinic.org/diseases-conditions/compulsive-gambling/symptoms-causes/syc-20355178
Nicotine dependence,"Nicotine dependence occurs when you need nicotine and can't stop using it. Nicotine is the chemical in tobacco that makes it hard to quit. Nicotine produces pleasing effects in your brain, but these effects are temporary. So you reach for another cigarette.
The more you smoke, the more nicotine you need to feel good. When you try to stop, you experience unpleasant mental and physical changes. These are symptoms of nicotine withdrawal.
Regardless of how long you've smoked, stopping can improve your health. It isn't easy but you can break your dependence on nicotine. Many effective treatments are available. Ask your doctor for help.","For some people, using any amount of tobacco can quickly lead to nicotine dependence. Signs that you may be addicted include: | You can't stop smoking.You've made one or more serious, but unsuccessful, attempts to stop. | You have withdrawal symptoms when you try to stop.Your attempts at stopping have caused physical and mood-related symptoms, such as strong cravings, anxiety, irritability, restlessness, difficulty concentrating, depressed mood, frustration, anger, increased hunger, insomnia, constipation or diarrhea. | You keep smoking despite health problems.Even though you've developed health problems with your lungs or your heart, you haven't been able to stop. | You give up social activities.You may stop going to smoke-free restaurants or stop socializing with family or friends because you can't smoke in these situations.",https://www.mayoclinic.org/diseases-conditions/nicotine-dependence/symptoms-causes/syc-20351584
Addison's disease,"Addison's disease is a rare condition that happens when the body doesn't make enough of some hormones. Another name for Addison's disease is primary adrenal insufficiency. With Addison's disease, the adrenal glands make too little of the hormone cortisol. Often, they also make too little of another hormone called aldosterone.
Damage to the adrenal glands causes Addison's disease. Symptoms can start slowly. Early symptoms may include extreme tiredness, salt cravings and weight loss.
Addison's disease can affect anyone. Without treatment, it can be life-threatening. Treatment involves taking lab-made hormones to replace those that are missing.","Addison's disease symptoms usually happen slowly, often over months. The disease may happen so slowly that people who have it might ignore the symptoms at first. Physical stress such as an illness or injury can make symptoms get worse fast. | Early symptoms of Addison's disease can affect you in various ways. Some early symptoms can cause discomfort or loss of energy, including: | Extreme tiredness, also called fatigue. | Dizziness or fainting when standing after sitting or lying down. This is due to a type of low blood pressure called postural hypotension. | Sweating due to low blood sugar, also called hypoglycemia. | Upset stomach, diarrhea or vomiting. | Pain in the stomach area, also called the abdomen. | Muscle cramps, weakness, widespread pain or joint pain. | Other early symptoms can cause changes in how you look, such as: | Body hair loss. | Areas of darkened skin, especially on scars and moles. These changes may be harder to see on Black or brown skin. | Weight loss due to less hunger. | Early Addison's disease symptoms also can affect emotions, mental health and desires. These symptoms include: | Depression. | Irritable mood. | Lower sex drive in women. | Salt craving.",https://www.mayoclinic.org/diseases-conditions/addisons-disease/symptoms-causes/syc-20350293
